Ward,Service Request Type,n
Scarborough-Rouge Park (25),Road Pothole / Road Damage,388
Scarborough-Rouge Park (25),Sidewalk Snow Clearing Required,228
Scarborough-Rouge Park (25),Tree Emergency Clean-Up,325
Spadina-Fort York (10),General Pruning,170
Spadina-Fort York (10),Res / Garbage / Not Picked Up,50
Spadina-Fort York (10),Res / Organic Green Bin / Not Picked Up,23
Spadina-Fort York (10),Res / Recycle / Not Picked Up,45
Spadina-Fort York (10),Residential Bin Body or Handle Damaged,140
Spadina-Fort York (10),Residential Bin Lid Damaged,295
Spadina-Fort York (10),Residential Furniture / Not Picked Up,66
Spadina-Fort York (10),Road Pothole / Road Damage,482
Spadina-Fort York (10),Sidewalk Snow Clearing Required,344
Spadina-Fort York (10),Tree Emergency Clean-Up,153
Toronto Centre (13),General Pruning,194
Toronto Centre (13),Res / Garbage / Not Picked Up,165
Toronto Centre (13),Res / Organic Green Bin / Not Picked Up,101
Toronto Centre (13),Res / Recycle / Not Picked Up,187
Toronto Centre (13),Residential Bin Body or Handle Damaged,89
Toronto Centre (13),Residential Bin Lid Damaged,81
Toronto Centre (13),Residential Furniture / Not Picked Up,110
Toronto Centre (13),Road Pothole / Road Damage,325
Toronto Centre (13),Sidewalk Snow Clearing Required,312
Toronto Centre (13),Tree Emergency Clean-Up,135
Toronto-Danforth (14),General Pruning,870
Toronto-Danforth (14),Res / Garbage / Not Picked Up,795
Toronto-Danforth (14),Res / Organic Green Bin / Not Picked Up,610
Toronto-Danforth (14),Res / Recycle / Not Picked Up,859
Toronto-Danforth (14),Residential Bin Body or Handle Damaged,638
Toronto-Danforth (14),Residential Bin Lid Damaged,882
Toronto-Danforth (14),Residential Furniture / Not Picked Up,619
Toronto-Danforth (14),Road Pothole / Road Damage,622
Toronto-Danforth (14),Sidewalk Snow Clearing Required,760
Toronto-Danforth (14),Tree Emergency Clean-Up,478
Toronto-St. Paul's (12),General Pruning,594
Toronto-St. Paul's (12),Res / Garbage / Not Picked Up,179
Toronto-St. Paul's (12),Res / Organic Green Bin / Not Picked Up,143
Toronto-St. Paul's (12),Res / Recycle / Not Picked Up,140
Toronto-St. Paul's (12),Residential Bin Body or Handle Damaged,666
Toronto-St. Paul's (12),Residential Bin Lid Damaged,1271
Toronto-St. Paul's (12),Residential Furniture / Not Picked Up,285
Toronto-St. Paul's (12),Road Pothole / Road Damage,751
Toronto-St. Paul's (12),Sidewalk Snow Clearing Required,656
Toronto-St. Paul's (12),Tree Emergency Clean-Up,390
University-Rosedale (11),General Pruning,573
University-Rosedale (11),Res / Garbage / Not Picked Up,288
University-Rosedale (11),Res / Organic Green Bin / Not Picked Up,208
University-Rosedale (11),Res / Recycle / Not Picked Up,327
University-Rosedale (11),Residential Bin Body or Handle Damaged,659
University-Rosedale (11),Residential Bin Lid Damaged,1322
University-Rosedale (11),Residential Furniture / Not Picked Up,401
University-Rosedale (11),Road Pothole / Road Damage,406
University-Rosedale (11),Sidewalk Snow Clearing Required,621
University-Rosedale (11),Tree Emergency Clean-Up,389
Willowdale (18),General Pruning,401
Willowdale (18),Res / Garbage / Not Picked Up,276
Willowdale (18),Res / Organic Green Bin / Not Picked Up,175
Willowdale (18),Res / Recycle / Not Picked Up,203
